Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Air Raiders (Air Battle) (1983) (M Network - INTV - APh Technological Consulting, Larry Zwick) (MT5861) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Air Raiders (Hack) (32 in 1) (Bit Corporation) (R320).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Air Raiders (Unknown) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Air-Sea Battle (32 in 1) (1988) (Atari, Larry Kaplan) (CX26163P) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Air-Sea Battle (Hack) (Unknown) (4K).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Air-Sea Battle - Air Sea Battle (Anti-Aircraft) (1977) (Atari, Larry Kaplan) (CX2602, CX2602P) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Air-Sea Battle - Air Sea Battle - Target Fun (Anti-Aircraft) (1977) (Atari, Larry Kaplan - Sears) (CX2602 - 99802, 6-99802, 49-75102) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Airlock (1983) (Gameworld) (133-004) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Airlock (1982) (Data Age) (DA1004) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Airlock (1982) (Data Age) (DA1004) (Prototype).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Alices Abenteuer - Lilly Adventure (1983) (Quelle - Otto Versand) (732.273 8 - 600273, 781644) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Alien (1982) (20th Century Fox Video Games, Douglas 'Dallas North' Neubauer) (11006) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Alien (CCE).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Alien's Return (AKA Go Go Home) (1983) (ITT Family Games) (554-33 391) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Alligator People (1983) (20th Century Fox Video Games, John Russell) (Prototype) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Alpha Beam with Ernie (Alpha Beam) (Kid's Controller) (1983) (Atari - CCW, Michael Callahan, Preston Stuart) (CX26103) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Alpha Beam with Ernie (Alpha Beam) (Kid's Controller) (1983) (Atari - CCW, Michael Callahan, Preston Stuart) (CX26103) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Alpha Beam with Ernie (Alpha Beam) (Kid's Controller) (12-22-1982) (Atari - CCW, Michael Callahan, Preston Stuart) (CX26103) (Prototype).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Alpha Beam with Ernie (Alpha Beam) (Kid's Controller) (06-03-1983) (Atari - CCW, Michael Callahan, Preston Stuart) (CX26103) (Prototype) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Amidar (Hack) (32 in 1) (Bit Corporation) (R320).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Amidar (1982) (Parker Brothers, Ed Temple) (PB5310) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Amidar (1982) (Parker Brothers, Ed Temple) (931504) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/AndroMan on the Moon (1984) (Androbot - Western Technologies, Michael Case, Lenny Carlson) (Prototype) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Angeln I (AKA Fishing Derby) (Videospielkassette - Ariola) (PGP237) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Angriff der Luftflotten - Paris Attack (AKA M.A.D.) (1983) (Quelle - Otto Versand) (495.463 2 - 746381) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Ant Party (AKA Cosmic Swarm) (32 in 1) (1988) (Atari) (CX26163P) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Apples and Dolls (AKA Open, Sesame!) (CCE).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Aquatak (AKA Skindiver) (1983) (John Sands Electronics) (JS145C) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Aquaventure (CCE).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Aquaventure (Sea Sentinel) (08-12-1983) (Atari, Tod Frye, Gary Shannon) (Prototype) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Arkyology (1983) (Sparrow - Enter-Tech, Rick Harris, George Hefner, Paul Walters, Barbara Ultis) (Prototype) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Armor Ambush (Tank Battle) (1982) (M Network - INTV - APh Technological Consulting, Hal Finney) (MT5661) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Armor Ambush (1988) (Telegames) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Artillery Duel (1983) (Xonox - K-Tel Software - Action Graphics, Michael Schwartz, David Thiel) (6230, 7210, 06004, 99004) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Artillery Duel (1983) (Xonox - K-Tel Software - Action Graphics, Michael Schwartz, David Thiel) (6230, 7210, 06004, 99004) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Ases do Ar (AKA Sky Jinks) (Dismac).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Assault (AKA Sky Alien) (1983) (Bomb - Onbase) (CA281) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Assault (AKA Sky Alien) (1983) (Bomb - Onbase) (CA281).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Asterix (AKA Taz) (1984) (Atari, Jerome Domurat, Steve Woita) (CX2696).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Asterix (AKA Taz) (1984) (Atari, Jerome Domurat, Steve Woita) (CX2696) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Asterix (AKA Taz) (07-27-1983) (Atari, Jerome Domurat, Steve Woita) (CX2696) (Prototype).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Asteroid Belt (AKA Asteroid Fire) (1983) (Suntek) (SS-029) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Asteroid Fire (1983) (Home Vision - Gem International Corporation - VDI) (VCS83111) (PAL) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Asteroids (1981) (Atari, Brad Stewart - Sears) (CX2649 - 49-75163) [no copyright] ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Asteroids (1981) (Atari, Brad Stewart - Sears) (CX2649 - 49-75163) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Asteroids (1981) (Atari, Brad Stewart) (CX2649, CX2649P) (PAL) [no copyright].bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Asteroids (1981) (Atari, Brad Stewart) (CX2649, CX2649P) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Astro Attack (AKA Time Warp) (1983) (Goliath - Hot Shot) (83-214) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Astroblast (Paddle) (1982) (M Network - INTV - APh Technological Consulting, Hal Finney) (MT5666) [fixed] ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Astroblast (Paddle) (1982) (M Network - INTV - APh Technological Consulting, Hal Finney) (MT5666) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Astroblast (Paddle) (1988) (Telegames) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Astrowar (1983) (Goliath) (2) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Astrowar (Unknown).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Astrowar (Astrobattle) (Dimax - Sinmax) (SM8002) (PAL) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atari VCS Point-of-Purchase ROM (1982) (Atari) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atari Video Cube (Atari Cube, Video Cube) (1983) (Atari - GCC) (CX2670) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis (Lost City of Atlantis) (1982) (Imagic, Dennis Koble) (720103-1A, 720103-1B, IA3203, IX-010-04) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis (1983) (CCE) (C-832) [a].bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis (1983) (CCE) (C-832).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis (1983) (Digitel).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis (Lost City of Atlantis) (1982) (Imagic, Dennis Koble) (720103-2A, IA3203P, EIX-010-04I) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis (Hack) (Unknown) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis (Hack) (32 in 1) (Bit Corporation) (R320).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis (Hack) (208 in 1) (Unknown) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis (Dactari - Milmar).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis (1983) (Dynacom).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atlantis II (1982) (Imagic, Dennis Koble) (720103-1A, IA3203).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atom Smasher (1984) (Video Soft) (Prototype) [stack pointer fix] ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Atom Smasher (1984) (Video Soft) (Prototype).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Aufruhr im Zoo (AKA Panda Chase) (1983) (Quelle) (719.694 2) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/A/Autorennen (AKA Grand Prix) (Videospielkassette - Ariola) (PGP232) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/B/Bachelor Party (Paddle) (1982) (Mystique - American Multiple Industries, Joel H. Martin) (1002) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/B/Bachelor Party (Paddle) (1982) (PlayAround - J.H.M.) (205).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/B/Bachelorette Party (AKA Bachelor Party) (Paddle) (1982) (PlayAround - J.H.M.) (202).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/B/Backgammon (Paddle) (1979) (Atari, Craig Nelson - Sears) (CX2617 - 49-75183) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/B/Backgammon (Paddle) (1979) (Atari, Craig Nelson) (CX2617, CX2617P) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/B/Bank Heist (Hack) (32 in 1) (Bit Corporation) (R320).bin" does not exist! Ignoring.
