--- The following is a list of skipped games ---
'Advanced Dungeons & Dragons - Heroes of the Lance', No returned matches
'Advanced Dungeons & Dragons - Pool of Radiance', No returned matches
'Advanced Dungeons & Dragons - Hillsfar', No returned matches
'Alien 3 Plus', No returned matches
'Alien 3', No returned matches
'Karate Kid, The', No returned matches
'Karnov', No returned matches
'Kick Master', No returned matches
'Karate Champ', No returned matches
'Kickle Cubicle', No returned matches
'Kabuki - Quantum Fighter', No returned matches
'Kid Kool', No returned matches
'Kid Klown in Night Mayor World', No returned matches
'Kid Niki', No returned matches
'Kid Icarus', No returned matches
'King's Knight', No returned matches
'Kings of the Beach', No returned matches
'King's Quest V', No returned matches
'KlashBall', No returned matches
'Klax', No returned matches
'King of Kings, The', No returned matches
'Knight Rider', No returned matches
'Kung Fu', No returned matches
'Krion Conquest, The', No returned matches
'Kung Fu Heroes', No returned matches
'Krusty's Funhouse', No returned matches
'Kirby's Adventure (Sub Esp)', No returned matches
'Kiwi Kraze - A Bird-Brained Adventure!', No returned matches
'Kiwi Kraze', No returned matches
'Kirby's Bizzare Dreamland', No returned matches
'Mappy', No returned matches
'Mario Bros.', No returned matches
'Metroid', No returned matches
'Kirby's Adventure', No returned matches
'Micro Mages', No returned matches
'Mario Is Missing!', No returned matches
'Moon Crystal (Sub Eng)', No returned matches
'Moon Crystal', No returned matches
'Metal Gear', No returned matches
'Snake's Revenge', No returned matches
'Mr. Gimmick! (Sub Esp)', No returned matches
'Mickey's Adventure in Numberland', No returned matches
'Gimmick!', No returned matches
'Mickey's Safari in Letterland', No returned matches
'Mega Man 2', No returned matches
'Mega Man 4', No returned matches
'Metroid - Rogue Dawn', No returned matches
'Mega Man 3', No returned matches
'Mega Man', No returned matches
'Mega Man 5', No returned matches
'Mega Man (Sub Esp)', No returned matches
'Mega Man 6', No returned matches
'Mega Man 3 Improvement (Sub Esp)', No returned matches
'Mega Man 5 (Sub Esp)', No returned matches
'Mega Man 2 (Sub Esp)', No returned matches
'Mega Man 4 (Sub Esp)', No returned matches
'Mega Man Redux', No returned matches
'Mega Man Reloaded', No returned matches
'Mega Man - Upgrade Patch', No returned matches
'Mega Man 6 (Sub Esp)', No returned matches
'Rockman Claw', No returned matches
'MegaMari', No returned matches
'Rockman - New Year Hack (2014)', No returned matches
'Rockman - New Year Hack (2018)', No returned matches
'Rockman - New Year Hack (2020)', No returned matches
'Rockman 6 - Spirits of Hackers', No returned matches
'Rockman 4 - Minus Infinity (MMC3 Version)', No returned matches
'Rockman 6 EX', No returned matches
'Rockman 6 God World 5', No returned matches
'Rockman 6 Unique Harassment', No returned matches
'Mega Man 4 - Voyage', No returned matches
'Rockman 6 Innocent', No returned matches
'Rockman 4 - Minus Infinity (MMC5 Version)', No returned matches
'Rockman - No Constancy (Hard Edition)', No returned matches
'Mega Man 2 - Wily Conquest Hyper Edition Turbo', No returned matches
'Mega Man Ultra', No returned matches
'Mega Man CX', No returned matches
'Rockman - No Constancy (Normal Edition)', No returned matches
'Rockman 2 Deux Ex Machina', No returned matches
