--- The following is a list of skipped games ---
'Barbie - Groovy Games', No returned matches
'Breath of Fire 2 ', No returned matches
'Barbie - Horse Adventures - Blue Ribbon Race', No returned matches
'Barbie - the Princess and the Pauper', No returned matches
'Barbie Diaries - High School Mystery', No returned matches
'Barbie and the Magic of Pegasus', No returned matches
'Barbie - Secret Agent - Royal Jewels Mission', No returned matches
'Barbie as the Island Princess', No returned matches
'Barbie in the 12 Dancing Princesses', No returned matches
'Bomber-Man Max 2 Blue', No returned matches
'Backyard Football', No returned matches
'Bomber-Man Tournament', No returned matches
'Bomber-Man Max 2 Red', No returned matches
'Beyblade G-Revolution', No returned matches
'Beyblade V-Force - Ultimate Blader', No returned matches
'Boktai 2 - Solar Boy Django', No returned matches
'Bubble Bobble - Old & New', No returned matches
'Backyard Basketball 2007', No returned matches
'Bubble Bobble - Old and New', No returned matches
'Backyard Basketball', No returned matches
'Backyard Baseball 2007', No returned matches
'Backyard Baseball', No returned matches
'Backyard Baseball 2006', No returned matches
'bit Generations - Boundish', No returned matches
'Boktai - the Sun is in Your Hands', No returned matches
'bit Generations - Dial Hex', No returned matches
'Pac-Man Collection', No returned matches
'Pac-Man World', No returned matches
'Pac-Man World 2', No returned matches
'Pac-Man Pinball Advance', No returned matches
'Paws & Claws - Pet Resort', No returned matches
'Payback', No returned matches
'Penny Racers', No returned matches
'Peter Pan - the Motion Picture Event', No returned matches
'Peter Pan - Return to Neverland', No returned matches
'bit Generations - Dotstream', No returned matches
'Pets - Hamsters Life 2', No returned matches
'Phalanx - The Enforce Fighter A-144 [E]', No returned matches
'Petz Vet.# GBA', No returned matches
'Phalanx - The Enforce Fighter A-144', No returned matches
'Phalanx - the Enforce Fighter A-144 2', No returned matches
'Personal Organizer PDA', No returned matches
'Phil of the Future', No returned matches
'Piglet's Big Game', No returned matches
'Pinball Advance [E]', No returned matches
'Phantasy Star Collection', No returned matches
'Pinball Tycoon', No returned matches
'Pinball Challenge Deluxe', No returned matches
'Pink Panther - Pinkadelic Pursuit', No returned matches
'Pinky and the Brain - the Master Plan', No returned matches
'Pinball Advance 2', No returned matches
'Pinball of the Dead', No returned matches
'Pinball Advance', No returned matches
'Pippa Funnell - Stable Adventure', No returned matches
'Pippa Funnell 2', No returned matches
'Pirates Of The Caribbean - Dead Man's Chest [E]', No returned matches
'Piratas del Caribe - El cofre del hombre muerto [E]', No returned matches
'Pirates of the Caribbean 2 - Dead Man's Chest', No returned matches
'Piratas del Caribe - El cofre del hombre muerto', No returned matches
'Pinobee - Wings of Adventure', No returned matches
'Pirates of the Caribbean', No returned matches
'Planet Monsters 2', No returned matches
'Planet Monsters [E]', No returned matches
'Pitfall - the Lost Expedition', No returned matches
'Planet Monsters', No returned matches
'Planet of the Apes [E]', No returned matches
'Planet of the Apes 2', No returned matches
'Pitfall - the Mayan Adventure', No returned matches
'Pocket Dogs', No returned matches
'Pocket Professor - Kwik Notes Vol.1', No returned matches
'Pocky & Rocky with Becky', No returned matches
'Planet of the Apes', No returned matches
'Pocket Music', No returned matches
'Pokemon - Esmeralda', No returned matches
'Pokemon - Fire Red', No returned matches
'Pokemon - Pinball RZ', No returned matches
'Pokemon - Leaf Green', No returned matches
'Pokemon - Red (S)', No returned matches
'Pokemon - Green (S)', No returned matches
'Pokemon - Zafire (S)', No returned matches
'Pokemon Esmeralda [E]', No returned matches
'Pokemon Emerald', No returned matches
'Pokemon - Rubi', No returned matches
'Pokemon Mundo misterioso - Equipo de rescate rojo', No returned matches
'Pokemon Pinball - Ruby and Sapphire', No returned matches
'Pokemon Pinball RZ [E]', No returned matches
'Pokemon Mystery Dungeon - Red Rescue Team', No returned matches
'Pokemon Mundo misterioso [E]', No returned matches
'Pokemon Sapphire', No returned matches
'Pokemon Rubi [E]', No returned matches
'Pokemon Ruby', No returned matches
'Pokémon Rojo fuego [E]', No returned matches
'Pokémon Zafiro [E]', No returned matches
'Pokémon Verde hoja [E]', No returned matches
'Polar Express', No returned matches
'Polarium Advance', No returned matches
'Popeye - Rush for Spinach', No returned matches
'Polly Pocket - Super Splash Island', No returned matches
'Power Rangers - Ninja Storm', No returned matches
'Power Rangers - Dino-Thunder', No returned matches
'Power Rangers - Space Patrol Delta', No returned matches
'Power Rangers - Time-Force', No returned matches
'Power Rangers - Wild Force', No returned matches
'Pop Idol', No returned matches
'Power-Puff Girls - Mojo Jojo a Go Go', No returned matches
'Premier Action', No returned matches
'Premier Manager 2004-2005', No returned matches
'Power-Puff Girls - Him and Seek', No returned matches
'Premier Manager 2005 - 2006', No returned matches
'Prehistorik Man', No returned matches
'Premier League Manager', No returned matches
'Pro Tennis WTA Tour', No returned matches
'Pro Beach Soccer', No returned matches
'Princess Natasha - Student, Secret Agent, Princess', No returned matches
'Puppy Luv - Spa and Resort', No returned matches
'Proud Family', No returned matches
'Puyo Pop Fever', No returned matches
'Puzzle Fighter 2', No returned matches
'Prince of Persia - Sands of Time', No returned matches
'Puyo Pop', No returned matches
'Pokemon - Edicion Zafiro', No returned matches
'Pokemon - Edicion Rubi', No returned matches
'Pokemon - Edicion Esmeralda', No returned matches
'Pokemon - Mystery Dungeon - Red Rescue Team', No returned matches
'Pokemon - Edicion Rojo Fuego', No returned matches
'Pokemon - Verde Hoja', No returned matches
'Pokemon - Volume 2', No returned matches
'Pokemon - Volume 1', No returned matches
'Pokemon - Gold 100-in-1', No returned matches
'Daredevil', No returned matches
'Pokemon - Volume 3', No returned matches
'Darius R', No returned matches
'David Beckham Soccer', No returned matches
'Dark Arena', No returned matches
'Dead to Rights', No returned matches
'Darts - Shuffle - Skiball ', No returned matches
'Deadly Skies', No returned matches
'Davis Cup', No returned matches
'Defender of the Crown', No returned matches
'Deal or No Deal', No returned matches
'Defender', No returned matches
'Desert Strike Advance', No returned matches
'Denki Blocks', No returned matches
'Digimon Racing', No returned matches
'Demon Driver - Time to Burn Rubber', No returned matches
'Pokemon - Volume 4', No returned matches
'Disney's Party', No returned matches
'Dodgeball Advance', No returned matches
'Dinotopia - the Timestone Pirates', No returned matches
'Disney's Extreme Skate Adventure', No returned matches
'Dog Trainer', No returned matches
'Dokapon - Monster Hunter', No returned matches
'Double Dragon Advance', No returned matches
'Downforce', No returned matches
'Dr. Muto', No returned matches
'Donald Duck Advance', No returned matches
'Dragon Tales - Dragon Adventures', No returned matches
'Dragon's Rock', No returned matches
'Drake & Josh', No returned matches
'Dr. Sudoku', No returned matches
'Droopy's Tennis Open', No returned matches
'Dropzone', No returned matches
'Dual Blades', No returned matches
'Drill Dozer', No returned matches
'Dungeons and Dragons - Eye of the Beholder', No returned matches
'Dynasty Warriors Advance', No returned matches
'Donkey Kong - King of Swing', No returned matches
'Duke Nukem Advanced', No returned matches
'Dave Mirra - Freestyle BMX 2', No returned matches
'Dr. Seuss - the Cat in the Hat', No returned matches
'Dr. Seuss - Green Eggs and Ham', No returned matches
'Dave Mirra - Freestyle BMX 3', No returned matches
'Doom (UE)', No returned matches
'Doom', No returned matches
'Disney Princess - Royal Adventure  2', No returned matches
'Disney Princess - Royal Adventure', No returned matches
'Doom II', No returned matches
'Donkey Kong Country 3', No returned matches
'Donkey Kong Country 2', No returned matches
'Donkey Kong Country', No returned matches
'Disney Princess', No returned matches
'Dragonball Z - Advance adventure  [E]', No returned matches
'Dragonball GT - Transformation', No returned matches
'DragonBall Z Taiketsu', No returned matches
'Dragon Ball - Advance adventure', No returned matches
'Dragonball Z - Buu's Fury', No returned matches
'Dragonball Z - the Legacy of Goku 2', No returned matches
'Dragonball Z - Collectable Card Game', No returned matches
'Dragonball Z - Taiketsu', No returned matches
'Danny Phantom - Urban Jungle', No returned matches
'Dragonball Z - the Legacy of Goku', No returned matches
'Danny Phantom - the Ultimate Enemy', No returned matches
'Digimon Battle Spirit 2 -  Rising Sun', No returned matches
'Digimon Battle Spirit', No returned matches
'Dora the Explorer - Dora's World Adventure  2', No returned matches
'Dora the Explorer - Super Star Adventures', No returned matches
'Disney Sports - Basketball', No returned matches
'Dragonball Z - Supersonic Warriors', No returned matches
