--- The following is a list of skipped games ---
'Rocket - Robot on Wheels (U) [!] 2', No returned matches
'Robot Ponkottsu 64 - Caramel of the 7 Seas (J) [!]', No returned matches
'Rugrats - Scavenger Hunt (U) [!]', No returned matches
'Rugrats in Paris - The Movie (U) [!]', No returned matches
'Rugrats in Paris - The Movie (U) [!]', No returned matches
'Robotron 64 (U) [!]', No returned matches
'Rush 2 - Extreme Racing [ESP]', No returned matches
'Rugrats - Treasure Hunt (E) [!]', No returned matches
'Earthworm Jim 3D [ESP]', No returned matches
'Earthworm Jim 3D (English)', No returned matches
'Earthworm Jim 3D (U) [!]', No returned matches
'Rush 2 - Extreme Racing USA (U) [!]', No returned matches
'Excitebike 64 (U) [!]', No returned matches
'Excitebike 64 (U) [!]', No returned matches
'Extreme-G XG2 (U) [!]', No returned matches
'Extreme-G (U) [!]', No returned matches
'Extreme-G [ESP]', No returned matches
'Extreme-G XG2 [ESP]', No returned matches
'1080 Snowboarding (E) [!]', No returned matches
'007 - GoldenEye 007 [N64] [Roms Nintendo en Español]', No returned matches
'40 Winks [N64] [Roms Nintendo en Español]', No returned matches
'64 Oozumou 2 (J) [!]', No returned matches
'1080 Snowboarding (JU) [!]', No returned matches
'007 - The World is Not Enough [N64] [Roms Nintendo en Español]', No returned matches
'G.A.S.P! Fighter's NEXTream (E) [!]', No returned matches
'GT 64 Championship Edition (U) [!]', No returned matches
'Gauntlet Legends (U) [!]', No returned matches
'Gex 64 - Enter the Gecko (U) [!]', No returned matches
'Gex 3 - Deep Cover Gecko (U) [!]', No returned matches
'Glover (U) [!]', No returned matches
'Glover 64', No returned matches
'Gex 3 - Deep Cover Gecko [N64] [Roms Nintendo en Español]', No returned matches
'Golden Nugget 64 (U) [!]', No returned matches
'GoldenEye 007 (U) [!]', No returned matches
'gasp', No returned matches
'Goemon's Great Adventure (U) [!]', No returned matches
'GoldenEye 007 Spa SkanderX', No returned matches
'NASCAR 2000 (U) [!]', No returned matches
'NBA Live 99 [N64] [Roms Nintendo en Español]', No returned matches
'NHL 99 (U) [!]', No returned matches
'Nuclear Strike 64 (U) [!]', No returned matches
'NFL Blitz 2001 (U) [!]', No returned matches
'NFL Blitz (U) [!]', No returned matches
