--- The following is a list of skipped games ---
'Action Fighter (UE) [!]', No returned matches
'Ace of Aces (UE) [!]', No returned matches
'ALF (UE) [!]', No returned matches
'Aerial Assault (UE) [!]', No returned matches
'Addams Family, The (UE) [!]', No returned matches
'After Burner (UE) [b1]', No returned matches
'Air Rescue (UE) [!]', No returned matches
'Air Rescue (UE) [T+Por_Emutrans]', No returned matches
'Air Rescue (UE) [b1][T+Por_Emutrans]', No returned matches
'Air Rescue (UE) [b1]', No returned matches
'Akai Koudan Zillion (J) [!]', No returned matches
'Aladdin (UE) [!]', No returned matches
'Aleste (JUE) [!]', No returned matches
'Aladdin (UE) [T+Fre_GenerationIX]', No returned matches
'Alex Kidd - The Lost Stars (UE) [b1]', No returned matches
'Alex Kidd - The Lost Stars (UE) [!]', No returned matches
'Alex Kidd BMX Trial (UE) [!]', No returned matches
'Alex Kidd in High Tech World (UE) [!]', No returned matches
'After Burner (UE) [!]', No returned matches
'Alex Kidd in High Tech World (UE) [T+Ger1.00_Star-trans]', No returned matches
'Alex Kidd in Miracle World (Brazil) [p1][b1]', No returned matches
'Alex Kidd in Miracle World (Brazil) [p1][!]', No returned matches
'Alex Kidd in Miracle World (J) [!]', No returned matches
'Alex Kidd in Miracle World (UE) [!]', No returned matches
'Alex Kidd in Miracle World (Brazil) [p1][o1]', No returned matches
'Alex Kidd in Miracle World (UE) [T+Fre]', No returned matches
'Alex Kidd in Miracle World (UE) [T-Por]', No returned matches
'Alex Kidd in Miracle World (UE) [a1]', No returned matches
'Alex Kidd in Miracle World (UE) [T+Por_CBT]', No returned matches
'Alex Kidd in Miracle World (UE) [o1]', No returned matches
'Alex Kidd in Miracle World (UE) [T+Ita1.0]', No returned matches
'Alex Kidd in Shinobi World (UE) [!]', No returned matches
'Alex Kidd in Shinobi World (UE) [b1]', No returned matches
'Alex Kidd in Shinobi World (UE) [b2]', No returned matches
'Alex Kidd in Miracle World (UE) [o2]', No returned matches
'Alien 3 (UE) [!]', No returned matches
'Alien Syndrome (UE) [!]', No returned matches
'Alien Storm (UE) [!]', No returned matches
'Altered Beast (UE) [!]', No returned matches
'Andre Agassi Tennis (UE) [!]', No returned matches
'Andre Agassi Tennis (UE) [T+Por][p1][!]', No returned matches
'American Pro Football (UE) [!]', No returned matches
'American Baseball (JE) [!]', No returned matches
'Anmitsu Hime (J) [!]', No returned matches
'Ashura (J) [!]', No returned matches
'Arcade Smash Hits (UE) [!]', No returned matches
'Assault City - Light Phaser Version (U) [!]', No returned matches
'Asterix (UE) [!]', No returned matches
'Asterix (UE) [a1]', No returned matches
'Astro Flash (J) [!]', No returned matches
'Asterix and the Great Rescue (UE) [!]', No returned matches
'Assault City - Pad Version (E) [!]', No returned matches
'Astro Warrior & Pit Pot (UE) [!]', No returned matches
'Astro Warrior & Pit Pot (UE) [b1][o1]', No returned matches
'Astro Warrior & Pit Pot (UE) [o1]', No returned matches
'Asterix and the Secret Mission (UE) [!]', No returned matches
'Astro Warrior (UE) [!]', No returned matches
'Astro Warrior (UE) [b1]', No returned matches
'Astro Warrior (UE) [a1]', No returned matches
'Aztec Adventure - The Golden Road to Paradise (UE) [!]', No returned matches
'Astro Warrior (UE) [b1][o1]', No returned matches
'Aztec Adventure - The Golden Road to Paradise (UE) [o1]', No returned matches
'Kenseiden (J) [!]', No returned matches
'Kenseiden (UE) [!]', No returned matches
'King's Quest (UE) [!]', No returned matches
'Kenseiden (UE) [T+Por]', No returned matches
'Kenseiden (UE) [T+Fre]', No returned matches
'Klax (UE) [b1]', No returned matches
'Klax (UE) [!]', No returned matches
'Klax (UE) [b3]', No returned matches
'Klax (UE) [b2]', No returned matches
'Krusty's Fun House (UE) [!]', No returned matches
'Machine Gun Joe (J) [!]', No returned matches
'Kung Fu Kid (UE) [!]', No returned matches
'Kujakuou (J) [!]', No returned matches
'Kung Fu Kid (UE) [o1]', No returned matches
'Magali no Castelo do Dragao (Monica no Castelo Hack)', No returned matches
'Magic Drive Plus BIOS [!]', No returned matches
'Mahjong Sengoku Jidai (J) [b1][o1]', No returned matches
'Mahjong Sengoku Jidai (J) [o1]', No returned matches
'Mahjong Sengoku Jidai (J) [!]', No returned matches
'Marble Madness (UE) [!]', No returned matches
'Marble Madness (UE) [T+Spa100_sinister]', No returned matches
'Marble Madness (UE) [b1]', No returned matches
'Makai Retsuden (J) [!]', No returned matches
'Master Mario Bros (Teddy Boy Hack)', No returned matches
'Master Zelda (Brazil) (Teddy Boy Hack) [a1]', No returned matches
'Master Mega Man (WonderBoy in ML Hack)', No returned matches
'Master Mega Man (Brazil) [o1]', No returned matches
'Master Zelda (Brazil) (Teddy Boy Hack)', No returned matches
'Master Smash Brothers V1.0 (Psycho Fox Hack)', No returned matches
'Master of Darkness (UE) [!]', No returned matches
'Master of Darkness (UE) [b1]', No returned matches
'Masters of Combat (UE) [!]', No returned matches
'Maze Walker (J) [!]', No returned matches
'Masters of Combat (UE) [b1]', No returned matches
'Maze Hunter 3D (U) [!]', No returned matches
'Megumi Rescue (J) [!]', No returned matches
