--- The following is a list of skipped games ---
'Barkley Shut Up and Jam (JUE) [!]', No returned matches
'Bare Knuckle 3 (J) [a1]', No returned matches
'Bare Knuckle 3 (J) [a2][!]', No returned matches
'Barkley Shut Up and Jam (JUE) [h2]', No returned matches
'Barkley Shut Up and Jam (JUE) [h1]', No returned matches
'Bare Knuckle 3 (J) [p1]', No returned matches
'Barkley Shut Up and Jam 2 (JUE) [!]', No returned matches
'Barkley Shut Up and Jam (JUE) [h3]', No returned matches
'Barkley Shut Up and Jam 2 (JUE) [b2]', No returned matches
'Barney's Hide and Seek (U) [!]', No returned matches
'Barney's Hide and Seek (U) [h2]', No returned matches
'Barkley Shut Up and Jam 2 (JUE) [b1]', No returned matches
'Barney's Hide and Seek (U) [h3]', No returned matches
'Barney's Hide and Seek (U) [h4]', No returned matches
'Barney's Hide and Seek (U) [h5]', No returned matches
'Barney's Hide and Seek (U) [h1]', No returned matches
'Barney's Hide and Seek (U) [h6]', No returned matches
'Bass Masters Classic Pro Edition (F) [!]', No returned matches
'Bastard!! (PD)', No returned matches
'Batman (J)', No returned matches
'Batman (E)', No returned matches
'Batman (J) [h1]', No returned matches
'Batman (UE) [!]', No returned matches
'Batman (beta)', No returned matches
'Batman - Revenge of the Joker (U) [!]', No returned matches
'Batman - Revenge of the Joker (U) [h1]', No returned matches
'Batman - Revenge of the Joker (U) [h2]', No returned matches
'Batman - Revenge of the Joker (U) [p1]', No returned matches
'Batman - Revenge of the Joker (U) [p2]', No returned matches
'Batman - Revenge of the Joker (U) [p3]', No returned matches
'Batman - Revenge of the Joker (U) [p4]', No returned matches
'Batman Forever (F) [!]', No returned matches
'Bass Masters Classics (4) [!]', No returned matches
'Batman and Robin, The Adventures of (E) [h1]', No returned matches
'Batman Forever (F) [b1]', No returned matches
'Batman and Robin, The Adventures of (E)', No returned matches
'Batman and Robin, The Adventures of (JU) [!]', No returned matches
'Batman and Robin, The Adventures of (JU) [h1]', No returned matches
'Batman and Robin, The Adventures of (JU) [b1]', No returned matches
'Batman and Robin, The Adventures of (JU) [h2]', No returned matches
'Batman and Robin, The Adventures of (JU) [h3]', No returned matches
'Batman and Robin, The Adventures of (JU) [h4]', No returned matches
'Batman and Robin, The Adventures of (JU) [h5]', No returned matches
'Batman Returns (U) [!]', No returned matches
'Battle Mania (J)', No returned matches
'Battle Mania (U) [h1]', No returned matches
'Battle Mania 2 - TS Vintage (J) [c][!]', No returned matches
'Battle Mania 2 - TS Vintage (JUE) [h2]', No returned matches
'Battle Golfer Yui (J) [c][!]', No returned matches
'Battle Mania 2 - TS Vintage (JUE) [h4]', No returned matches
'Battle Mania 2 - TS Vintage (JUE) [h5]', No returned matches
'Battle Mania 2 - TS Vintage (JUE) [h1]', No returned matches
'Battle Mania 2 - TS Vintage (JUE) [h3]', No returned matches
'Battle Squadron (U) [!]', No returned matches
'Battle Squadron (U) [p1]', No returned matches
'Battlemaster (JUE) [b1]', No returned matches
'Battlemaster (JUE) [c][!]', No returned matches
'Battletech (U) [b1]', No returned matches
'Battle Squadron (U) [b1]', No returned matches
'Battletech (U) [!]', No returned matches
'Battlemaster (JUE) [h1]', No returned matches
'Battletech (U) [h1]', No returned matches
'Battletoads (JUE) [!]', No returned matches
'Battletoads and Double Dragon (U) [h1]', No returned matches
'Battletoads and Double Dragon (U) [h2]', No returned matches
'Battletoads and Double Dragon (U) [h3]', No returned matches
'Battletoads and Double Dragon (U) [h4]', No returned matches
'Battletoads and Double Dragon (U) [h5]', No returned matches
'Beast Warrior (J)', No returned matches
'Beast Wrestler (U) [!]', No returned matches
'Beast Wrestler (U) [h1]', No returned matches
'Beauty and the Beast - Belle's Quest (JUE) [h1]', No returned matches
'Beauty and the Beast - Belle's Quest (U) [b1]', No returned matches
'Beauty and the Beast - Belle's Quest (U) [!]', No returned matches
'Beauty and the Beast - Belle's Quest (U) [h1]', No returned matches
'Beauty and the Beast - Roar of the Beast (U) [h1]', No returned matches
'Battletoads and Double Dragon (U) [c][!]', No returned matches
'Beauty and the Beast - Roar of the Beast (U) [!]', No returned matches
'Beavis and Butthead (U) [b1]', No returned matches
'Beavis and Butthead (U) [h1]', No returned matches
