--- The following is a list of skipped games ---
'POPEYEBL', No returned matches
'PUCKMAN', No returned matches
'PONPOKO', No returned matches
'p47', No returned matches
'p47j', No returned matches
'pacgal', No returned matches
'pacheart', No returned matches
'pacland2', No returned matches
'pacland3', No returned matches
'paclandm', No returned matches
'pacman', No returned matches
'pacmania', No returned matches
'pacmanij', No returned matches
'pacmanm', No returned matches
'pacnchmp', No returned matches
'pacnpal2', No returned matches
'paintrlr', No returned matches
'palamed', No returned matches
'pandoras', No returned matches
'pang', No returned matches
'pang3', No returned matches
'pang3j', No returned matches
'pangb', No returned matches
'panicger', No returned matches
'parodius', No returned matches
'passht4b', No returned matches
'passsht', No returned matches
'pbactio2', No returned matches
'pc_1942', No returned matches
'pc_bball', No returned matches
'pc_bfght', No returned matches
'pc_bstar', No returned matches
'pc_cntra', No returned matches
'pc_cshwk', No returned matches
'pc_cvnia', No returned matches
'pc_dbldr', No returned matches
'pc_ddrgn', No returned matches
'pc_drmro', No returned matches
'pc_duckh', No returned matches
'pc_ebike', No returned matches
'pc_ftqst', No returned matches
'pc_gntlt', No returned matches
'pc_golf', No returned matches
'pc_goons', No returned matches
'pc_grdus', No returned matches
'pc_hgaly', No returned matches
'pc_kngfu', No returned matches
'pc_miket', No returned matches
'pc_mman3', No returned matches
'pc_moglf', No returned matches
'pc_ngai3', No returned matches
'pc_ngaid', No returned matches
'pc_pwbld', No returned matches
'pc_pwrst', No returned matches
'pc_radr2', No returned matches
'pc_radrc', No returned matches
'pc_rcpam', No returned matches
'pc_rkats', No returned matches
'pc_rnatk', No returned matches
'pc_rrngr', No returned matches
'pc_rygar', No returned matches
'PULSAR', No returned matches
'pc_smb', No returned matches
'pc_smb2', No returned matches
'PSYCHIC5', No returned matches
'pc_smb3', No returned matches
'pc_tenis', No returned matches
'pc_suprc', No returned matches
'pc_tkfld', No returned matches
'pc_tmnt', No returned matches
'pc_tmnt2', No returned matches
'pc_wcup', No returned matches
'pc_vball', No returned matches
'pc_ynoid', No returned matches
'pc_wgnmn', No returned matches
'pcktgal2', No returned matches
'pcktgal', No returned matches
'peekaboo', No returned matches
'pcktgalb', No returned matches
'peepshow', No returned matches
'pengo2', No returned matches
'pengo2u', No returned matches
'peterpak', No returned matches
'percuss', No returned matches
'phantom2', No returned matches
'phantasm', No returned matches
'phoenixa', No returned matches
'phelios', No returned matches
'phozon', No returned matches
'phoenixc', No returned matches
'pickin', No returned matches
'pignewt', No returned matches
'pignewta', No returned matches
